"","Scenario","Outcome","Variable","Moyenne","Ecart_type"
"1","1","Ig","Rcr","0.0961635839366194","0.0418163117718919"
"2","1","Ig","Ramox","-0.645935532469606","0.0243202705181515"
"3","1","Ig","Rmacro","-0.0117003495081194","0.0513464506414759"
"4","1","Ig","ConsoAmox","0.893000167822956","0.0101349912714519"
"5","1","Ig","ConsoMacro","-0.0301329188574311","0.0423110516244335"
"6","1","Ig","pi","-0.963149382955479","0.00325265503453136"
"7","1","Ig","LambdaAge","-0.78260846628631","0.0196385137180178"
"8","1","Ig","TreatmentDuration_Amox","0.527071488450541","0.0464213528254302"
"9","1","Ig","TreatmentDuration_Macro","0.0134448009841526","0.0508448193946901"
"10","1","Ig","d2","0.0917402367882806","0.0329229600881589"
"11","1","Ig","d3","0.0439995392107291","0.0399447188005601"
"12","1","Ig","d4","-0.0124840087413036","0.0432890079620113"
"13","1","Ig","d5","0.00670264520386398","0.0404650831837346"
"14","1","Ig","d6","-0.0369684915222905","0.0428892967939414"
"15","1","Ig","d7","-0.0446338242435293","0.0527506639644197"
"16","1","Ig","d8","-0.0154245146865058","0.0482664143374525"
"17","2","Ig","Rcr","0.116744708580122","0.0238832082290604"
"18","2","Ig","Ramox","-0.708253318621073","0.0298266854733402"
"19","2","Ig","Rmacro","-0.0258285441038214","0.0331238634658874"
"20","2","Ig","ConsoAmox","0.907440182507387","0.00670034189432757"
"21","2","Ig","ConsoMacro","-0.0353709350568583","0.0479930994575078"
"22","2","Ig","pi","-0.958946525265304","0.00376709421874195"
"23","2","Ig","LambdaAge","-0.598094043094488","0.0345250552278815"
"24","2","Ig","TreatmentDuration_Amox","0.51392146224892","0.0306657183783276"
"25","2","Ig","TreatmentDuration_Macro","0.0307766583623412","0.0581655783737151"
"26","2","Ig","d2","0.103349235928215","0.0516290575901807"
"27","2","Ig","d3","0.0779313629735172","0.0461745460930897"
"28","2","Ig","d4","0.00585456895563847","0.0464648963772661"
"29","2","Ig","d5","-0.017271664071215","0.052243782033176"
"30","2","Ig","d6","-0.0605920415582892","0.0418411491489585"
"31","2","Ig","d7","-0.0643772615605442","0.0448570897289156"
"32","2","Ig","d8","-0.0140726266346061","0.037610825394488"
"33","3","Ig","Rcr","0.102282175582194","0.0392922034367827"
"34","3","Ig","Ramox","0.81434222483475","0.0158270445110164"
"35","3","Ig","Rmacro","-0.0536081937738323","0.050521973417865"
"36","3","Ig","ConsoAmox","0.91379198502557","0.00718504432834485"
"37","3","Ig","ConsoMacro","-0.0381291946754366","0.0500597471213852"
"38","3","Ig","pi","-0.913857537526548","0.00875719068661211"
"39","3","Ig","LambdaAge","-0.580484678450873","0.0274286603770559"
"40","3","Ig","TreatmentDuration_Amox","0.720844825359543","0.0208464231607537"
"41","3","Ig","TreatmentDuration_Macro","0.0681067521353185","0.0469968402388907"
"42","3","Ig","d2","-0.0570174241839543","0.0414922989044344"
"43","3","Ig","d3","0.417433778845151","0.0329239364197061"
"44","3","Ig","d4","-0.0130117515630561","0.0474656578193827"
"45","3","Ig","d5","-0.143233145687821","0.0496696884523772"
"46","3","Ig","d6","-0.162830403329718","0.0481815728813593"
"47","3","Ig","d7","-0.145203905630424","0.0464046327707197"
"48","3","Ig","d8","-0.0422740689916452","0.0486110155258063"
"49","4","Ig","Rcr","0.25756659407947","0.034617172908607"
"50","4","Ig","Ramox","0.789850800068938","0.0252690186377194"
"51","4","Ig","Rmacro","-0.750092048585002","0.042314252518195"
"52","4","Ig","ConsoAmox","0.0505447830036291","0.0473073741033094"
"53","4","Ig","ConsoMacro","0.0233439883127228","0.0435374879443934"
"54","4","Ig","pi","-0.202834426838474","0.04813197043129"
"55","4","Ig","LambdaAge","-0.197185012685826","0.0500395391845221"
"56","4","Ig","TreatmentDuration_Amox","-0.601230399581081","0.0409068057658915"
"57","4","Ig","TreatmentDuration_Macro","0.716566524103123","0.0315888543055321"
"58","4","Ig","d2","-0.101921882688353","0.0545545523719671"
"59","4","Ig","d3","-0.0816361294833218","0.0506866969306065"
"60","4","Ig","d4","-0.0218920628457141","0.0488161152411886"
"61","4","Ig","d5","0.0151647480352674","0.0480355271576196"
"62","4","Ig","d6","0.0314028433874053","0.0446673930558439"
"63","4","Ig","d7","0.0333833418071832","0.0428301728995748"
"64","4","Ig","d8","-0.0380568562378077","0.0477971583250012"
"65","1","PropAns","Rcr","-0.0147577819525617","0.0386925222277468"
"66","1","PropAns","Ramox","-0.901007214628972","0.00712643514496057"
"67","1","PropAns","Rmacro","-0.0169484735305765","0.0325889093207219"
"68","1","PropAns","ConsoAmox","0.940610310866536","0.00486699489581903"
"69","1","PropAns","ConsoMacro","0.00738930804234629","0.038580637812423"
"70","1","PropAns","pi","0.673325628888131","0.0271223823449372"
"71","1","PropAns","LambdaAge","0.582987120358411","0.0305917449518482"
"72","1","PropAns","TreatmentDuration_Amox","0.708226793896827","0.0283708208906891"
"73","1","PropAns","TreatmentDuration_Macro","0.0399205229419742","0.0347956026769435"
"74","1","PropAns","d2","-0.222733142110584","0.0472885483682648"
"75","1","PropAns","d3","-0.214055100416031","0.0501512578475931"
"76","1","PropAns","d4","0.0321247287965435","0.0407180304501591"
"77","1","PropAns","d5","0.168622047939605","0.0432260707533102"
"78","1","PropAns","d6","0.111488031374258","0.0388327461228909"
"79","1","PropAns","d7","0.123475874370935","0.0304669145546096"
"80","1","PropAns","d8","0.0790479932255097","0.0525296279729963"
"81","2","PropAns","Rcr","-0.0420440225003739","0.0448620670439373"
"82","2","PropAns","Ramox","-0.849497199921058","0.0142793694718211"
"83","2","PropAns","Rmacro","-0.0350489925871327","0.0429496449340975"
"84","2","PropAns","ConsoAmox","0.873895350273074","0.0115939819958285"
"85","2","PropAns","ConsoMacro","0.0339174956451438","0.0442464861112784"
"86","2","PropAns","pi","0.86016936305872","0.0114093863973212"
"87","2","PropAns","LambdaAge","0.795212605835905","0.0235477608056673"
"88","2","PropAns","TreatmentDuration_Amox","0.642038357437885","0.0318316412733434"
"89","2","PropAns","TreatmentDuration_Macro","0.050620584086134","0.0455618024211465"
"90","2","PropAns","d2","-0.109858255428899","0.0407780918798476"
"91","2","PropAns","d3","-0.159759734702237","0.0375082972706478"
"92","2","PropAns","d4","0.000462432875007582","0.0405436946777256"
"93","2","PropAns","d5","0.156755465676515","0.027404768754934"
"94","2","PropAns","d6","0.128519852059357","0.0299714551383157"
"95","2","PropAns","d7","0.106165637116583","0.0301264444955565"
"96","2","PropAns","d8","0.100267063807283","0.0380083913019925"
"97","3","PropAns","Rcr","0.0337780201774761","0.0378024249258459"
"98","3","PropAns","Ramox","-0.883969219606339","0.00943416137792592"
"99","3","PropAns","Rmacro","0.0594897187613231","0.0373121594045908"
"100","3","PropAns","ConsoAmox","0.928277938213492","0.006427661055358"
"101","3","PropAns","ConsoMacro","0.0334313836752758","0.0487904154703809"
"102","3","PropAns","pi","0.508373665024119","0.0401710789717964"
"103","3","PropAns","LambdaAge","0.496028967404915","0.0344219132157896"
"104","3","PropAns","TreatmentDuration_Amox","0.385307479809981","0.0357278703883885"
"105","3","PropAns","TreatmentDuration_Macro","0.0360052693162756","0.0391022274344021"
"106","3","PropAns","d2","0.0361789577817326","0.0522036973650085"
"107","3","PropAns","d3","0.473263279622134","0.0410104051484117"
"108","3","PropAns","d4","0.0609015050254505","0.047578354656393"
"109","3","PropAns","d5","-0.00424137854540098","0.0496876018515247"
"110","3","PropAns","d6","-0.0579863643341261","0.0479976917924615"
"111","3","PropAns","d7","-0.0374820276364916","0.0442872254450403"
"112","3","PropAns","d8","0.0122830039287165","0.061084592648068"
"113","4","PropAns","Rcr","-0.941463385667505","0.00595474882851253"
"114","4","PropAns","Ramox","-0.850556732626152","0.0165038397393032"
"115","4","PropAns","Rmacro","0.845668435405107","0.0159294625641548"
"116","4","PropAns","ConsoAmox","0.146026053469271","0.0531622336137474"
"117","4","PropAns","ConsoMacro","-0.0557207410982957","0.03835228874846"
"118","4","PropAns","pi","0.0170589480432626","0.0470567655108222"
"119","4","PropAns","LambdaAge","-0.00417101639045363","0.0367971081450942"
"120","4","PropAns","TreatmentDuration_Amox","0.577669546758832","0.03547222392787"
"121","4","PropAns","TreatmentDuration_Macro","-0.395786056751244","0.0487482630914767"
"122","4","PropAns","d2","-0.115933494769424","0.0520321796869098"
"123","4","PropAns","d3","-0.118239431409504","0.0500940813848782"
"124","4","PropAns","d4","0.0323714172569963","0.0433227631551238"
"125","4","PropAns","d5","0.0596070157960631","0.056957447076508"
"126","4","PropAns","d6","0.0578454421525738","0.034636707344812"
"127","4","PropAns","d7","0.10070591846959","0.0517547641683907"
"128","4","PropAns","d8","-0.0023909032788183","0.0631235552423056"
"129","1","PropMr","Rcr","0.918343753064139","0.00622416031925707"
"130","1","PropMr","Ramox","0.789378422104044","0.0150882794651473"
"131","1","PropMr","Rmacro","-0.913364041549652","0.00827480765115059"
"132","1","PropMr","ConsoAmox","0.70304897762575","0.0269847214930895"
"133","1","PropMr","ConsoMacro","0.0486153802755367","0.0383082295417577"
"134","1","PropMr","pi","0.30328823385453","0.0422302348391076"
"135","1","PropMr","LambdaAge","0.278857143272253","0.0332655400505943"
"136","1","PropMr","TreatmentDuration_Amox","0.409399621933052","0.0339732397677359"
"137","1","PropMr","TreatmentDuration_Macro","0.00869658079757577","0.0483060310333815"
"138","1","PropMr","d2","-0.160777759579529","0.0397893729994132"
"139","1","PropMr","d3","-0.0877117481098643","0.0356152142173589"
"140","1","PropMr","d4","-0.00221583383567272","0.0395424039674548"
"141","1","PropMr","d5","0.0418604056094181","0.0344315983970677"
"142","1","PropMr","d6","0.0457819382686156","0.0280449911135076"
"143","1","PropMr","d7","-0.00500545824113288","0.0385446190777346"
"144","1","PropMr","d8","0.0593882053251525","0.0555933662232246"
"145","2","PropMr","Rcr","0.900469333500665","0.0059231444118103"
"146","2","PropMr","Ramox","0.695861524082658","0.027515481618449"
"147","2","PropMr","Rmacro","-0.896840805186701","0.00966330792336258"
"148","2","PropMr","ConsoAmox","0.6914913076335","0.0252840528867464"
"149","2","PropMr","ConsoMacro","0.0299478803747369","0.0447470668923116"
"150","2","PropMr","pi","0.656569697204831","0.0298562404636812"
"151","2","PropMr","LambdaAge","0.583987765126703","0.0320897334932135"
"152","2","PropMr","TreatmentDuration_Amox","0.452095970291343","0.0367584832144663"
"153","2","PropMr","TreatmentDuration_Macro","-0.0221054356199996","0.0460789665267146"
"154","2","PropMr","d2","-0.102713873190299","0.0422679144502514"
"155","2","PropMr","d3","-0.0744100111196044","0.0498133714618682"
"156","2","PropMr","d4","0.00587949815644185","0.0520742480184389"
"157","2","PropMr","d5","0.0853456496609981","0.0493757555099488"
"158","2","PropMr","d6","0.093495549045388","0.044829091047738"
"159","2","PropMr","d7","0.0386505180551618","0.0521229254988874"
"160","2","PropMr","d8","0.0960225547828458","0.0530012195292341"
"161","3","PropMr","Rcr","0.909780928964477","0.00643923967821566"
"162","3","PropMr","Ramox","0.638280412929541","0.0264435459944613"
"163","3","PropMr","Rmacro","-0.90537645402549","0.0058917226288599"
"164","3","PropMr","ConsoAmox","0.818975636118513","0.0167807372693803"
"165","3","PropMr","ConsoMacro","0.0231589708967679","0.0342081419783613"
"166","3","PropMr","pi","0.310077351007484","0.0466629991793285"
"167","3","PropMr","LambdaAge","0.32681205353803","0.0374057675443743"
"168","3","PropMr","TreatmentDuration_Amox","0.300244774890739","0.0412075229045044"
"169","3","PropMr","TreatmentDuration_Macro","0.0184649065048708","0.0462786445236768"
"170","3","PropMr","d2","-0.0585126687809758","0.03395129692857"
"171","3","PropMr","d3","0.306692185087507","0.0280730983377784"
"172","3","PropMr","d4","0.0342089547454417","0.0273090465949308"
"173","3","PropMr","d5","-0.0205017873917729","0.0322962727481618"
"174","3","PropMr","d6","-0.0392270141000069","0.0313386816821188"
"175","3","PropMr","d7","-0.0570895740279086","0.0363431613036413"
"176","3","PropMr","d8","0.0587779823129563","0.0415961617510172"
"177","4","PropMr","Rcr","-0.919817057262459","0.00709641102467187"
"178","4","PropMr","Ramox","-0.807886018026934","0.0149353526050744"
"179","4","PropMr","Rmacro","0.799161455379795","0.0242338690273673"
"180","4","PropMr","ConsoAmox","0.78053285797207","0.0223551277767067"
"181","4","PropMr","ConsoMacro","-0.00841998967795948","0.043659589116477"
"182","4","PropMr","pi","0.471023662134964","0.0368357069424436"
"183","4","PropMr","LambdaAge","0.412848601625025","0.0395448258906489"
"184","4","PropMr","TreatmentDuration_Amox","-0.48764311732423","0.0346845315998145"
"185","4","PropMr","TreatmentDuration_Macro","0.568774966967677","0.0274919740675214"
"186","4","PropMr","d2","0.162079869400575","0.0470550176620669"
"187","4","PropMr","d3","0.068877645137082","0.0506033677913672"
"188","4","PropMr","d4","0.0212543078909612","0.0560001384794107"
"189","4","PropMr","d5","-0.0395327356345054","0.0609377478444668"
"190","4","PropMr","d6","-0.0394040924547633","0.0496475725889994"
"191","4","PropMr","d7","0.031246198779517","0.0467384657637686"
"192","4","PropMr","d8","-0.0543248631496784","0.0554568155721287"
"193","1","PropAnsMr","Rcr","-0.00985104765482108","0.0376459904462838"
"194","1","PropAnsMr","Ramox","-0.901409080120427","0.00919425701017125"
"195","1","PropAnsMr","Rmacro","-0.0134887822081372","0.0441951819047216"
"196","1","PropAnsMr","ConsoAmox","0.94059652820429","0.00519151097629961"
"197","1","PropAnsMr","ConsoMacro","-7.71585676630762e-05","0.0432154842436392"
"198","1","PropAnsMr","pi","0.670735646459592","0.0298252865490501"
"199","1","PropAnsMr","LambdaAge","0.581392509544862","0.0384720842603502"
"200","1","PropAnsMr","TreatmentDuration_Amox","0.706922673864557","0.0204726074420773"
"201","1","PropAnsMr","TreatmentDuration_Macro","0.0371547043887117","0.0387723325785794"
"202","1","PropAnsMr","d2","-0.223878534043124","0.0502180674732461"
"203","1","PropAnsMr","d3","-0.214248098233591","0.0490048434344337"
"204","1","PropAnsMr","d4","0.0316291379365324","0.0594497649018394"
"205","1","PropAnsMr","d5","0.168814862111547","0.0578953266169372"
"206","1","PropAnsMr","d6","0.111021465380825","0.0495745609274973"
"207","1","PropAnsMr","d7","0.123560764748203","0.0558597827218904"
"208","1","PropAnsMr","d8","0.0799427516167427","0.0525027738991431"
"209","2","PropAnsMr","Rcr","-0.03472790869353","0.0650385226623362"
"210","2","PropAnsMr","Ramox","-0.849940993747435","0.0125569000310705"
"211","2","PropAnsMr","Rmacro","-0.0330609325888378","0.0366192990760163"
"212","2","PropAnsMr","ConsoAmox","0.87398744284193","0.0132439566417818"
"213","2","PropAnsMr","ConsoMacro","0.0276625288662319","0.0428691963560463"
"214","2","PropAnsMr","pi","0.859649166200195","0.0156638776280828"
"215","2","PropAnsMr","LambdaAge","0.794863956137484","0.0268749808238205"
"216","2","PropAnsMr","TreatmentDuration_Amox","0.64102434550255","0.0287742866620963"
"217","2","PropAnsMr","TreatmentDuration_Macro","0.0460707055448428","0.0564663143756282"
"218","2","PropAnsMr","d2","-0.108715412748984","0.0466056987356833"
"219","2","PropAnsMr","d3","-0.159326864826839","0.0501727398178725"
"220","2","PropAnsMr","d4","-0.000185350595925103","0.041805737869645"
"221","2","PropAnsMr","d5","0.15655334304812","0.038268802050165"
"222","2","PropAnsMr","d6","0.12908773170358","0.0384143997275313"
"223","2","PropAnsMr","d7","0.106163623204284","0.0425689578270808"
"224","2","PropAnsMr","d8","0.100525513109532","0.032909944968104"
"225","3","PropAnsMr","Rcr","0.0414534773313104","0.0442424608667809"
"226","3","PropAnsMr","Ramox","-0.884688129713422","0.0137211363524854"
"227","3","PropAnsMr","Rmacro","0.0613268568368283","0.0356551055750217"
"228","3","PropAnsMr","ConsoAmox","0.928221042482994","0.0103416927268134"
"229","3","PropAnsMr","ConsoMacro","0.0268015170322358","0.0453708632760816"
"230","3","PropAnsMr","pi","0.505860463112248","0.0498670654202304"
"231","3","PropAnsMr","LambdaAge","0.496447988411554","0.0406472062894245"
"232","3","PropAnsMr","TreatmentDuration_Amox","0.382821297752833","0.0413317527575387"
"233","3","PropAnsMr","TreatmentDuration_Macro","0.0357384906278835","0.0384114702333937"
"234","3","PropAnsMr","d2","0.0373199106636376","0.034765606990602"
"235","3","PropAnsMr","d3","0.473137043141649","0.0369566760134061"
"236","3","PropAnsMr","d4","0.0614354262715832","0.0477476261437495"
"237","3","PropAnsMr","d5","-0.00467702522334389","0.0419284707037775"
"238","3","PropAnsMr","d6","-0.0574958608875381","0.0435528176965251"
"239","3","PropAnsMr","d7","-0.0372565711378712","0.0464583846645276"
"240","3","PropAnsMr","d8","0.0132565586697032","0.0467893701440481"
"241","4","PropAnsMr","Rcr","0.50506506543593","0.034694647843724"
"242","4","PropAnsMr","Ramox","0.890068049429809","0.00554638261892441"
"243","4","PropAnsMr","Rmacro","-0.892146062901106","0.00827645814250047"
"244","4","PropAnsMr","ConsoAmox","0.796265822976242","0.0166888377135286"
"245","4","PropAnsMr","ConsoMacro","0.0303759480552122","0.0371529359581544"
"246","4","PropAnsMr","pi","0.484302890111845","0.033666621707124"
"247","4","PropAnsMr","LambdaAge","0.417892529991431","0.0417642729465179"
"248","4","PropAnsMr","TreatmentDuration_Amox","-0.670945174431174","0.0304804589178284"
"249","4","PropAnsMr","TreatmentDuration_Macro","0.667370457315069","0.0234996622465558"
"250","4","PropAnsMr","d2","0.184317568547857","0.0421884712253312"
"251","4","PropAnsMr","d3","0.165416506909955","0.0339068218144274"
"252","4","PropAnsMr","d4","-0.0203642082251733","0.0373182584419846"
"253","4","PropAnsMr","d5","-0.0812294244577705","0.0322112950758393"
"254","4","PropAnsMr","d6","-0.0837746062172908","0.0361232358007195"
"255","4","PropAnsMr","d7","-0.0880551183316623","0.0366226010329339"
"256","4","PropAnsMr","d8","0.0189124258211885","0.0486257703009888"
